S.NO,SECTION,DV,m2,PP,BEEE,FL,FIMS,TOTAL,Total,Percentage,Grade
418.0,GAMMA,18.0,12.0,15.0,12.0,18.0,9.0,1396.0,84.0,70.0,C
419.0,GAMMA,18.0,13.0,17.0,15.0,15.0,15.0,1458.0,93.0,77.5,C
420.0,GAMMA,16.0,3.0,12.0,18.0,19.0,15.0,1393.3333333333333,83.0,69.16666666666667,D
421.0,GAMMA,15.0,12.0,17.0,17.0,19.0,15.0,1475.3333333333333,95.0,79.16666666666666,C
422.0,GAMMA,17.0,15.0,17.0,20.0,18.0,17.0,1537.3333333333333,104.0,86.66666666666667,B
423.0,GAMMA,10.0,12.0,1.0,8.0,15.0,3.0,1172.6666666666667,49.0,40.833333333333336,F
424.0,GAMMA,19.0,17.0,17.0,19.0,20.0,17.0,1574.6666666666663,109.0,90.83333333333331,A
425.0,GAMMA,15.0,3.0,12.0,10.0,18.0,14.0,1330.0,72.0,60.0,D
426.0,GAMMA,11.0,15.0,11.0,19.0,15.0,8.0,1378.6666666666667,79.0,65.83333333333333,D
427.0,GAMMA,18.0,11.0,18.0,18.0,15.0,12.0,1467.3333333333333,92.0,76.66666666666667,C
428.0,GAMMA,2.0,5.0,1.0,2.0,10.0,6.0,1029.3333333333333,26.0,21.666666666666668,F
429.0,GAMMA,12.0,0.0,6.0,4.0,10.0,9.0,1131.3333333333333,41.0,34.166666666666664,F
430.0,GAMMA,18.0,6.0,10.0,20.0,19.0,17.0,1460.0,90.0,75.0,C
431.0,GAMMA,16.0,11.0,7.0,17.0,13.0,14.0,1382.0,78.0,65.0,D
